species,dataset,OG,Gene1,Gene2,exp_sum,exp_log2FC
Sang8,Sang8_leaves,OG0000121,Solang8_01g035270,Solang8_12g016030,8.93068283908186,4.55949857374122
Slyc4,Slyc4_leaves,OG0000121,Solyc00g500060,Solyc00g500143,0.224573242483527,1.51914011251204
Smac3,Smac3_leaves,OG0000121,Solmac3_07g011520,Solmac3_08g007780,1.53373738498776,3.43816300188365
Smac3,Smac3_leaves,OG0000121,Solmac3_07g011520,Solmac3_08g007780,3.52760728655907,3.97873138324635
Spri1,Spri1_leaves,OG0000121,Solpri1_05g009740,Solpri1_Cg000250,1.94989679271784,0.240358967865894
Spri1,Spri1_leaves,OG0000121,Solpri1_05g009740,Solpri1_Cg000250,4.27196941058783,1.10067794996918
Spri1,Spri1_leaves,OG0000121,Solpri1_05g009740,Solpri1_Cg000250,3.39812676633946,0.634110150050245
Scle2,Scle2_leaves,OG0000125,Solcle2_03g017180,Solcle2_09g013190,0.617333519152518,1.38173749012266
Scle2,Scle2_leaves,OG0000125,Solcle2_03g017180,Solcle2_09g013190,0.38303878118931,1.38173749012267
Smac3,Smac3_leaves,OG0000125,Solmac3_02g017450,Solmac3_08g007490,0.583511495085869,1.36666096218685
Smac3,Smac3_leaves,OG0000125,Solmac3_02g017450,Solmac3_08g007490,0.288223183180515,0.366660962186834
Saet3,Saet3_leaves,OG0000130,Solaet3_03g011280,Solaet3_12g013570,9.75323244040795,0.304689781877981
Saet3,Saet3_leaves,OG0000130,Solaet3_03g011280,Solaet3_12g013570,5.84161309882946,0.143856088034519
Saet3,Saet3_leaves,OG0000130,Solaet3_03g011280,Solaet3_12g013570,4.56273645669694,0.242923151202811
Sang8,Sang8_leaves,OG0000130,Solang8_12g013450,Solang8_12g015720,19.7766921152632,0.887473141781284
Sang8,Sang8_leaves,OG0000130,Solang8_12g013450,Solang8_12g015720,16.3127023295624,0.11488363788435
Sang8,Sang8_leaves,OG0000130,Solang8_12g013450,Solang8_12g015720,12.3580816914412,0.250030381968661
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,9.7996711933635,1.87536869396455
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,9.00020110899943,1.4024328109775
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,8.71039178070019,1.29562390251441
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,17.4896959598687,0.366757079373503
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,23.4112371779244,0.350051420069469
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,17.5898415049927,0.374174550935985
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,18.5228101991279,0.168415668864783
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,18.8315577609632,0.233043788677556
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,12.6430145249651,2.838306599743
Slyc4,Slyc4_leaves,OG0000130,Solyc03g063357,Solyc12g017267,14.4231532384458,1.3991124526859
Saet3,Saet3_leaves,OG0000136,Solaet3_02g000840,Solaet3_07g014570,3.79572504444794,1.04263172718191
Saet3,Saet3_leaves,OG0000136,Solaet3_02g000840,Solaet3_07g014570,4.96588625592612,2.05902616543258
Saet3,Saet3_leaves,OG0000136,Solaet3_02g000840,Solaet3_07g014570,3.07572115911448,2.08327371167925
Squi2,Squi2_leaves,OG0000136,Solqui2_04g017800,Solqui2_08g007740,8.38640523662413,2.17954009031903
Squi2,Squi2_leaves,OG0000136,Solqui2_04g017800,Solqui2_08g007740,7.43346862678301,2.37479638171797
Squi2,Squi2_leaves,OG0000136,Solqui2_04g017800,Solqui2_08g007740,7.92689783977091,1.85035617942887
Smac3,Smac3_leaves,OG0000137,Solmac3_05g009730,Solmac3_11g017090,1.02905667956439,2.52151306984992
Squi2,Squi2_leaves,OG0000137,Solqui2_04g017990,Solqui2_09g010150,1.13873624684993,1.23340923672451
Saet3,Saet3_leaves,OG0000140,Solaet3_04g000590,Solaet3_04g000630,51.1227152764397,6.77970867424951
Saet3,Saet3_leaves,OG0000140,Solaet3_04g000590,Solaet3_04g000630,48.8414831154287,7.40852546456009
Saet3,Saet3_leaves,OG0000140,Solaet3_04g000590,Solaet3_04g000630,44.7374129298347,6.33951769774233
Sang8,Sang8_leaves,OG0000140,Solang8_04g000560,Solang8_04g000640,57.372299808884,9.38512704457228
Slyc4,Slyc4_leaves,OG0000140,Solyc01g111850,Solyc07g006470,0.145684766734249,0.810657544730442
Squi2,Squi2_leaves,OG0000140,Solqui2_01g042870,Solqui2_01g042880,0.113738291398826,0.00601123803386009
Squi2,Squi2_leaves,OG0000140,Solqui2_01g042870,Solqui2_01g042880,0.297996718550869,0.59097373875502
Saet3,Saet3_leaves,OG0000141,Solaet3_07g018870,Solaet3_11g017110,0.438833604466699,0.898120385980788
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,2.15080690975732,5.70118936484068
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,2.89841521341437,3.71889136657413
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,1.30031532316563,3.03376470392754
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,2.08660687983338,2.23580847987219
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,4.3845195453221,2.19868902431149
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,5.14871300050384,2.22193630529064
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,5.39943373539547,1.53126436339836
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,5.14360419737393,2.35155834116346
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,5.37145671469683,2.16261976960397
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,2.9735292489651,2.79429876923216
Slyc4,Slyc4_leaves,OG0000141,Solyc10g055375,Solyc11g044933,2.29704792229632,3.16869428401365
Saet3,Saet3_leaves,OG0000142,Solaet3_01g000450,Solaet3_01g000460,2.85047532721373,2.11273045707682
Saet3,Saet3_leaves,OG0000142,Solaet3_01g000450,Solaet3_01g000460,0.349670472673062,0.186731038520596
Smac3,Smac3_leaves,OG0000142,Solmac3_01g000560,Solmac3_01g000570,0.668683928962928,3.08406426478847
Smac3,Smac3_leaves,OG0000142,Solmac3_01g000560,Solmac3_01g000570,1.80775269904925,2.78450398292957
Smac3,Smac3_leaves,OG0000142,Solmac3_01g000560,Solmac3_01g000570,0.651033347067415,2.66902676550963
Saet3,Saet3_leaves,OG0000143,Solaet3_01g021380,Solaet3_08g021580,3.03995427560627,5.91037764911957
Saet3,Saet3_leaves,OG0000143,Solaet3_01g021380,Solaet3_08g021580,2.1662586897252,4.7826221019212
Spri1,Spri1_leaves,OG0000143,Solpri1_01g014540,Solpri1_08g022370,3.69083103005219,0.608146212871621
Spri1,Spri1_leaves,OG0000143,Solpri1_01g014540,Solpri1_08g022370,6.66694183664679,1.1901371470615
Spri1,Spri1_leaves,OG0000143,Solpri1_01g014540,Solpri1_08g022370,2.82469920188811,1.04555152517893
Spri1,Spri1_leaves,OG0000143,Solpri1_01g014540,Solpri1_08g022370,4.68977103619383,1.18641406101877
Sang8,Sang8_leaves,OG0000144,Solang8_01g017470,Solang8_08g008980,3.89062451698684,2.48446041312882
Sang8,Sang8_leaves,OG0000144,Solang8_01g017470,Solang8_08g008980,5.90411783835467,3.72546851263261
Scan1,Scan1_leaves,OG0000144,Solcan1_04g010580,Solcan1_06g011530,3.16048677382646,0.756137903441051
Scan1,Scan1_leaves,OG0000144,Solcan1_04g010580,Solcan1_06g011530,5.07556039995413,1.20679931245062
Scan1,Scan1_leaves,OG0000144,Solcan1_04g010580,Solcan1_06g011530,3.76568759360291,1.17117540271989
Scle2,Scle2_leaves,OG0000144,Solcle2_03g011170,Solcle2_11g016910,1.16719179632916,1.84212919249297
Scle2,Scle2_leaves,OG0000144,Solcle2_03g011170,Solcle2_11g016910,0.912968370517648,2.25716669177181
Scle2,Scle2_leaves,OG0000144,Solcle2_03g011170,Solcle2_11g016910,0.876773854564382,2.47955911310826
Smac3,Smac3_leaves,OG0000144,Solmac3_08g008540,Solmac3_12g017720,1.46547936059319,2.22872004130846
Smac3,Smac3_leaves,OG0000144,Solmac3_08g008540,Solmac3_12g017720,2.56755547216124,3.03607496336606
Smac3,Smac3_leaves,OG0000144,Solmac3_08g008540,Solmac3_12g017720,1.71155664853987,2.10318915922459
Squi2,Squi2_leaves,OG0000144,Solqui2_02g029970,Solqui2_09g017560,1.42694818348237,1.75431283773011
Squi2,Squi2_leaves,OG0000144,Solqui2_02g029970,Solqui2_09g017560,1.73166060538676,0.567615257157261
Squi2,Squi2_leaves,OG0000144,Solqui2_02g029970,Solqui2_09g017560,2.00750181305013,0.432384742842743
Scan1,Scan1_leaves,OG0000155,Solcan1_01g010450,Solcan1_04g013700,1.09025669760574,1.96626914268745
Scle2,Scle2_leaves,OG0000155,Solcle2_10g011210,Solcle2_11g013250,1.65482637042058,2.09305163998072
Saet3,Saet3_leaves,OG0000162,Solaet3_04g009160,Solaet3_07g023740,0.545852799412359,2.98672249975582
Scle2,Scle2_leaves,OG0000162,Solcle2_09g007320,Solcle2_11g019040,6.45505689458459,2.42186522163397
Scle2,Scle2_leaves,OG0000162,Solcle2_09g007320,Solcle2_11g019040,1.84473959995437,1.35404983740639
Scle2,Scle2_leaves,OG0000162,Solcle2_09g007320,Solcle2_11g019040,3.69361804605729,2.8946182187691
Smac3,Smac3_leaves,OG0000162,Solmac3_02g004090,Solmac3_05g011230,2.35213693803716,3.10726096666014
Saet3,Saet3_leaves,OG0000164,Solaet3_03g007450,Solaet3_09g009330,4.50680283923957,0.210404070797383
Saet3,Saet3_leaves,OG0000164,Solaet3_03g007450,Solaet3_09g009330,4.57213400092779,3.07290054704745
Sang8,Sang8_leaves,OG0000164,Solang8_03g007390,Solang8_09g009710,10.0825825970762,0.101557671136132
Sang8,Sang8_leaves,OG0000164,Solang8_03g007390,Solang8_09g009710,4.33852146792602,1.69913352064047
Sang8,Sang8_leaves,OG0000164,Solang8_03g007390,Solang8_09g009710,9.1575634263387,0.315804881088963
Scan1,Scan1_leaves,OG0000164,Solcan1_03g011990,Solcan1_12g011490,10.8689663051836,2.8974014760666
Scan1,Scan1_leaves,OG0000164,Solcan1_03g011990,Solcan1_12g011490,13.1116987210137,2.66036227876577
Scan1,Scan1_leaves,OG0000164,Solcan1_03g011990,Solcan1_12g011490,11.263622204412,1.42129111628268
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,17.5518852980042,5.51947900230724
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,24.5219766014316,6.68453824857773
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,11.9668489319842,6.17552460108988
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,16.9548152595777,5.89012238222763
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,4.62346543356513,3.11251480356407
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,5.08864177599413,3.8443186926145
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,6.8329866229668,3.02528196550926
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,8.0315635254157,3.68807860628298
Slyc4,Slyc4_leaves,OG0000164,Solyc02g022880,Solyc05g041177,9.58685323130693,4.79701297783614
Squi2,Squi2_leaves,OG0000164,Solqui2_03g011830,Solqui2_12g011390,12.8762508483153,1.54202663243828
Squi2,Squi2_leaves,OG0000164,Solqui2_03g011830,Solqui2_12g011390,6.10588099153894,2.27899222660448
Squi2,Squi2_leaves,OG0000164,Solqui2_03g011830,Solqui2_12g011390,8.24170745817429,1.91858998390249
Saet3,Saet3_leaves,OG0000173,Solaet3_07g000900,Solaet3_11g014620,2.82987124527168,1.78629330652977
Scan1,Scan1_leaves,OG0000173,Solcan1_10g023920,Solcan1_10g023930,0.884742259103866,1.04540264441937
Squi2,Squi2_leaves,OG0000173,Solqui2_08g002160,Solqui2_08g002170,0.353175952702245,1.1445939031198
Squi2,Squi2_leaves,OG0000173,Solqui2_08g002160,Solqui2_08g002170,0.306289808621434,0.729556403840951
Saet3,Saet3_leaves,OG0000176,Solaet3_06g008540,Solaet3_12g020410,2.8168432733631,3.69640796412204
Saet3,Saet3_leaves,OG0000176,Solaet3_06g008540,Solaet3_12g020410,3.08622902571736,4.99596824598095
Scle2,Scle2_leaves,OG0000176,Solcle2_12g011890,Solcle2_12g012040,0.316002827969356,0.945938265609556
Smac3,Smac3_leaves,OG0000185,Solmac3_12g028730,Solmac3_12g028760,0.201819830270305,1.01111195512022
Smac3,Smac3_leaves,OG0000185,Solmac3_12g028730,Solmac3_12g028760,0.436480553847242,0.011111955120215
Squi2,Squi2_leaves,OG0000185,Solqui2_12g021910,Solqui2_12g021960,2.45823133929876,4.45677868005099
Sang8,Sang8_leaves,OG0000186,Solang8_09g016570,Solang8_12g026800,0.22881561680658,0.924197175922241
Spri1,Spri1_leaves,OG0000186,Solpri1_04g010850,Solpri1_09g006090,4.27463147239862,2.76739692242119
Spri1,Spri1_leaves,OG0000186,Solpri1_04g010850,Solpri1_09g006090,1.95083070750054,0.090584072706386
Spri1,Spri1_leaves,OG0000186,Solpri1_04g010850,Solpri1_09g006090,1.84727492040417,2.90941592729361
Sang8,Sang8_leaves,OG0000192,Solang8_10g016220,Solang8_12g018510,6.01696402226543,0.295699732684773
Sang8,Sang8_leaves,OG0000192,Solang8_10g016220,Solang8_12g018510,4.22299562371321,0.937906185240397
Sang8,Sang8_leaves,OG0000192,Solang8_10g016220,Solang8_12g018510,4.26733599754774,0.430219397995878
Spri1,Spri1_leaves,OG0000192,Solpri1_02g011460,Solpri1_10g017740,2.26834590964193,1.87698496651121
Spri1,Spri1_leaves,OG0000192,Solpri1_02g011460,Solpri1_10g017740,5.35748738935745,0.467872301189473
Spri1,Spri1_leaves,OG0000192,Solpri1_02g011460,Solpri1_10g017740,2.30448781320135,2.7070599650689
Spri1,Spri1_leaves,OG0000192,Solpri1_02g011460,Solpri1_10g017740,3.3623325186427,0.166491583706188
Spri1,Spri1_leaves,OG0000193,Solpri1_07g006760,Solpri1_07g010900,4.88713422958135,4.898188209529
Spri1,Spri1_leaves,OG0000193,Solpri1_07g006760,Solpri1_07g010900,2.28808428056275,0.438756590891695
Squi2,Squi2_leaves,OG0000193,Solqui2_07g007570,Solqui2_10g012980,10.9255936568042,2.31657486039315
Squi2,Squi2_leaves,OG0000193,Solqui2_07g007570,Solqui2_10g012980,5.08436412826745,2.09418243905671
Squi2,Squi2_leaves,OG0000193,Solqui2_07g007570,Solqui2_10g012980,9.39198471911191,3.32823777791874
Sang8,Sang8_leaves,OG0000194,Solang8_06g013850,Solang8_09g008680,4.65994835051706,3.08451254361503
Sang8,Sang8_leaves,OG0000194,Solang8_06g013850,Solang8_09g008680,4.83160491990066,3.05594339141826
Scle2,Scle2_leaves,OG0000194,Solcle2_06g010420,Solcle2_12g016100,10.7299472225839,5.33705340391657
Scle2,Scle2_leaves,OG0000194,Solcle2_06g010420,Solcle2_12g016100,10.5797425087176,4.99601648608151
Scle2,Scle2_leaves,OG0000194,Solcle2_06g010420,Solcle2_12g016100,12.9700107404346,5.54855750911028
Smac3,Smac3_leaves,OG0000194,Solmac3_06g008450,Solmac3_12g013690,2.09662921960668,3.28331990667843
Saet3,Saet3_leaves,OG0000196,Solaet3_01g020230,Solaet3_06g016850,9.18561230502442,5.32946946265004
Sang8,Sang8_leaves,OG0000196,Solang8_06g017100,Solang8_10g009340,12.8418092470344,4.3184475261524
Sang8,Sang8_leaves,OG0000202,Solang8_11g014450,Solang8_12g015350,0.58770911482711,0.490027395049011
Scle2,Scle2_leaves,OG0000202,Solcle2_10g011780,Solcle2_12g010630,1.68750648954992,2.67501515620379
Scle2,Scle2_leaves,OG0000202,Solcle2_10g011780,Solcle2_12g010630,1.88099963947916,1.95512307539651
Saet3,Saet3_leaves,OG0000205,Solaet3_01g004180,Solaet3_03g025680,3.04334985480324,2.36851696481217
Sang8,Sang8_leaves,OG0000205,Solang8_01g011880,Solang8_03g026060,9.35240166719211,4.54289844115461
Sang8,Sang8_leaves,OG0000206,Solang8_01g035160,Solang8_05g018390,2.50060668690172,1.58496250072116
Sang8,Sang8_leaves,OG0000206,Solang8_01g035160,Solang8_05g018390,5.50671494316701,2
Scle2,Scle2_leaves,OG0000206,Solcle2_01g009780,Solcle2_Cg000150,29.4235866720657,6.04439411935845
Scle2,Scle2_leaves,OG0000206,Solcle2_01g009780,Solcle2_Cg000150,14.2589737194809,3.85798099512757
Scle2,Scle2_leaves,OG0000211,Solcle2_05g015730,Solcle2_05g017780,0.184786355902782,1.72950776072366
Scle2,Scle2_leaves,OG0000211,Solcle2_05g015730,Solcle2_05g017780,0.315734836139848,2.9519001820601
Slyc4,Slyc4_leaves,OG0000211,Solyc12g006040,Solyc12g010660,0.294106586548671,1.27738969881087
Slyc4,Slyc4_leaves,OG0000211,Solyc12g006040,Solyc12g010660,0.256507622703677,1.27738969881086
Slyc4,Slyc4_leaves,OG0000211,Solyc12g006040,Solyc12g010660,0.362157107544731,1.30757280191028
Slyc4,Slyc4_leaves,OG0000211,Solyc12g006040,Solyc12g010660,0.108356696152006,0.277389698810864
Smac3,Smac3_leaves,OG0000211,Solmac3_05g026650,Solmac3_10g018840,1.05496902176668,0.023924441392854
Smac3,Smac3_leaves,OG0000211,Solmac3_05g026650,Solmac3_10g018840,0.882748242791492,0.937767797643137
Scan1,Scan1_leaves,OG0000213,Solcan1_03g034390,Solcan1_03g034470,1.67991847651881,1.0163018123291
Scan1,Scan1_leaves,OG0000213,Solcan1_03g034390,Solcan1_03g034470,1.10338768463055,1.0163018123291
Smac3,Smac3_leaves,OG0000213,Solmac3_03g034780,Solmac3_07g004830,0.737461442849324,1.58496250072116
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,16.5763198891829,0.51784830486262
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,17.4412189355641,0.388485561187734
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,12.659128328862,0.29956028185891
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,26.5536242149757,0.0544477840223823
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,24.3702309684828,1.14825599929741
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,22.1765677526552,1.07890082774691
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,25.4786297029073,1.38117686517356
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,22.7311444508141,0.1470723303885
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,21.3807531266512,1.16002654037608
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,31.6346398145406,0.0662732194191729
Slyc4,Slyc4_leaves,OG0000217,Solyc10g061950,Solyc10g061955,36.5841047455166,0.0230836131130459
Smac3,Smac3_leaves,OG0000217,Solmac3_03g018780,Solmac3_10g006070,0.881378313496909,1.96383026331992
Sang8,Sang8_leaves,OG0000219,Solang8_05g016120,Solang8_06g024580,6.86357318381214,2.26547139127962
Sang8,Sang8_leaves,OG0000219,Solang8_05g016120,Solang8_06g024580,3.37767840519147,1.90290131189491
Squi2,Squi2_leaves,OG0000219,Solqui2_01g025170,Solqui2_03g000400,0.60843662076017,1.18684830447878
Slyc4,Slyc4_leaves,OG0000220,Solyc08g014590,Solyc11g065050,0.672362039391916,0.811238356544834
Spri1,Spri1_leaves,OG0000220,Solpri1_05g011710,Solpri1_10g011030,2.35080588568928,2.03201039490262
Slyc4,Slyc4_leaves,OG0000243,Solyc12g009530,Solyc12g009720,0.202689786001726,1.89206317793088
Slyc4,Slyc4_leaves,OG0000243,Solyc12g009530,Solyc12g009720,0.501714036812878,3.62902877209708
Squi2,Squi2_leaves,OG0000243,Solqui2_03g002880,Solqui2_03g003140,0.687941346348856,2.01449956969511
Scan1,Scan1_leaves,OG0000247,Solcan1_01g024410,Solcan1_01g024420,0.564521803837044,1.32192809488736
Smac3,Smac3_leaves,OG0000247,Solmac3_01g035040,Solmac3_01g035060,1.57902868770346,3.02053131041586
Smac3,Smac3_leaves,OG0000247,Solmac3_01g035040,Solmac3_01g035060,0.785040295360224,2.28356571624964
Scle2,Scle2_leaves,OG0000251,Solcle2_02g001760,Solcle2_02g001830,2.895444162325,0.506835720229259
Scle2,Scle2_leaves,OG0000251,Solcle2_02g001760,Solcle2_02g001830,2.24870128880893,0.0287884234246252
Scle2,Scle2_leaves,OG0000251,Solcle2_02g001760,Solcle2_02g001830,1.68237272724143,2.12832409697554
Spri1,Spri1_leaves,OG0000251,Solpri1_06g008210,Solpri1_08g005830,2.27335547771166,3.90689059560852
Spri1,Spri1_leaves,OG0000251,Solpri1_06g008210,Solpri1_08g005830,6.09282475180925,3.41503749927884
Sang8,Sang8_leaves,OG0000252,Solang8_11g010210,Solang8_11g010260,15.9209624923457,5.32856391572318
Scan1,Scan1_leaves,OG0000252,Solcan1_11g010470,Solcan1_11g010480,0.693809196331688,0.71212968964691
Scan1,Scan1_leaves,OG0000252,Solcan1_11g010470,Solcan1_11g010480,1.43733339375222,1.54863095736404
Scan1,Scan1_leaves,OG0000252,Solcan1_11g010470,Solcan1_11g010480,1.31840389519187,1.25841172220401
Scle2,Scle2_leaves,OG0000252,Solcle2_10g000330,Solcle2_11g009530,6.13621756231656,3.03026121518609
Scle2,Scle2_leaves,OG0000252,Solcle2_10g000330,Solcle2_11g009530,4.36494827413853,1.68031874412912
